,CODE,COUNTRY,DATE,HDI,KEYCODE&DATE,Country,European Union,Area (km²),European Single Market
0,AFG,Afghanistan,2019-12-31,0.498,AFG2019-12-31,,,,
1,AFG,Afghanistan,2020-01-01,0.498,AFG2020-01-01,,,,
2,AFG,Afghanistan,2020-01-02,0.498,AFG2020-01-02,,,,
3,AFG,Afghanistan,2020-01-03,0.498,AFG2020-01-03,,,,
4,AFG,Afghanistan,2020-01-04,0.498,AFG2020-01-04,,,,
5,AFG,Afghanistan,2020-01-05,0.498,AFG2020-01-05,,,,
6,AFG,Afghanistan,2020-01-06,0.498,AFG2020-01-06,,,,
7,AFG,Afghanistan,2020-01-07,0.498,AFG2020-01-07,,,,
8,AFG,Afghanistan,2020-01-08,0.498,AFG2020-01-08,,,,
9,AFG,Afghanistan,2020-01-09,0.498,AFG2020-01-09,,,,
10,AFG,Afghanistan,2020-01-10,0.498,AFG2020-01-10,,,,
11,AFG,Afghanistan,2020-01-11,0.498,AFG2020-01-11,,,,
12,AFG,Afghanistan,2020-01-12,0.498,AFG2020-01-12,,,,
13,AFG,Afghanistan,2020-01-13,0.498,AFG2020-01-13,,,,
14,AFG,Afghanistan,2020-01-14,0.498,AFG2020-01-14,,,,
15,AFG,Afghanistan,2020-01-15,0.498,AFG2020-01-15,,,,
16,AFG,Afghanistan,2020-01-16,0.498,AFG2020-01-16,,,,
17,AFG,Afghanistan,2020-01-17,0.498,AFG2020-01-17,,,,
18,AFG,Afghanistan,2020-01-18,0.498,AFG2020-01-18,,,,
19,AFG,Afghanistan,2020-01-19,0.498,AFG2020-01-19,,,,
20,AFG,Afghanistan,2020-01-20,0.498,AFG2020-01-20,,,,
21,AFG,Afghanistan,2020-01-21,0.498,AFG2020-01-21,,,,
22,AFG,Afghanistan,2020-01-22,0.498,AFG2020-01-22,,,,
23,AFG,Afghanistan,2020-01-23,0.498,AFG2020-01-23,,,,
24,AFG,Afghanistan,2020-01-24,0.498,AFG2020-01-24,,,,
25,AFG,Afghanistan,2020-01-25,0.498,AFG2020-01-25,,,,
26,AFG,Afghanistan,2020-01-26,0.498,AFG2020-01-26,,,,
27,AFG,Afghanistan,2020-01-27,0.498,AFG2020-01-27,,,,
28,AFG,Afghanistan,2020-01-28,0.498,AFG2020-01-28,,,,
29,AFG,Afghanistan,2020-01-29,0.498,AFG2020-01-29,,,,
30,AFG,Afghanistan,2020-01-30,0.498,AFG2020-01-30,,,,
31,AFG,Afghanistan,2020-01-31,0.498,AFG2020-01-31,,,,
32,AFG,Afghanistan,2020-02-01,0.498,AFG2020-02-01,,,,
33,AFG,Afghanistan,2020-02-02,0.498,AFG2020-02-02,,,,
34,AFG,Afghanistan,2020-02-03,0.498,AFG2020-02-03,,,,
35,AFG,Afghanistan,2020-02-04,0.498,AFG2020-02-04,,,,
36,AFG,Afghanistan,2020-02-05,0.498,AFG2020-02-05,,,,
37,AFG,Afghanistan,2020-02-06,0.498,AFG2020-02-06,,,,
38,AFG,Afghanistan,2020-02-07,0.498,AFG2020-02-07,,,,
39,AFG,Afghanistan,2020-02-08,0.498,AFG2020-02-08,,,,
40,AFG,Afghanistan,2020-02-09,0.498,AFG2020-02-09,,,,
41,AFG,Afghanistan,2020-02-10,0.498,AFG2020-02-10,,,,
42,AFG,Afghanistan,2020-02-11,0.498,AFG2020-02-11,,,,
43,AFG,Afghanistan,2020-02-12,0.498,AFG2020-02-12,,,,
44,AFG,Afghanistan,2020-02-13,0.498,AFG2020-02-13,,,,
45,AFG,Afghanistan,2020-02-14,0.498,AFG2020-02-14,,,,
46,AFG,Afghanistan,2020-02-15,0.498,AFG2020-02-15,,,,
47,AFG,Afghanistan,2020-02-16,0.498,AFG2020-02-16,,,,
48,AFG,Afghanistan,2020-02-17,0.498,AFG2020-02-17,,,,
49,AFG,Afghanistan,2020-02-18,0.498,AFG2020-02-18,,,,
50,AFG,Afghanistan,2020-02-19,0.498,AFG2020-02-19,,,,
51,AFG,Afghanistan,2020-02-20,0.498,AFG2020-02-20,,,,
52,AFG,Afghanistan,2020-02-21,0.498,AFG2020-02-21,,,,
53,AFG,Afghanistan,2020-02-22,0.498,AFG2020-02-22,,,,
54,AFG,Afghanistan,2020-02-23,0.498,AFG2020-02-23,,,,
55,AFG,Afghanistan,2020-02-24,0.498,AFG2020-02-24,,,,
56,AFG,Afghanistan,2020-02-25,0.498,AFG2020-02-25,,,,
57,AFG,Afghanistan,2020-02-26,0.498,AFG2020-02-26,,,,
58,AFG,Afghanistan,2020-02-27,0.498,AFG2020-02-27,,,,
59,AFG,Afghanistan,2020-02-28,0.498,AFG2020-02-28,,,,
60,AFG,Afghanistan,2020-02-29,0.498,AFG2020-02-29,,,,
61,AFG,Afghanistan,2020-03-01,0.498,AFG2020-03-01,,,,
62,AFG,Afghanistan,2020-03-02,0.498,AFG2020-03-02,,,,
63,AFG,Afghanistan,2020-03-03,0.498,AFG2020-03-03,,,,
64,AFG,Afghanistan,2020-03-04,0.498,AFG2020-03-04,,,,
65,AFG,Afghanistan,2020-03-05,0.498,AFG2020-03-05,,,,
66,AFG,Afghanistan,2020-03-06,0.498,AFG2020-03-06,,,,
67,AFG,Afghanistan,2020-03-07,0.498,AFG2020-03-07,,,,
68,AFG,Afghanistan,2020-03-08,0.498,AFG2020-03-08,,,,
69,AFG,Afghanistan,2020-03-09,0.498,AFG2020-03-09,,,,
70,AFG,Afghanistan,2020-03-10,0.498,AFG2020-03-10,,,,
71,AFG,Afghanistan,2020-03-11,0.498,AFG2020-03-11,,,,
72,AFG,Afghanistan,2020-03-12,0.498,AFG2020-03-12,,,,
73,AFG,Afghanistan,2020-03-13,0.498,AFG2020-03-13,,,,
74,AFG,Afghanistan,2020-03-14,0.498,AFG2020-03-14,,,,
75,AFG,Afghanistan,2020-03-15,0.498,AFG2020-03-15,,,,
76,AFG,Afghanistan,2020-03-16,0.498,AFG2020-03-16,,,,
77,AFG,Afghanistan,2020-03-17,0.498,AFG2020-03-17,,,,
78,AFG,Afghanistan,2020-03-18,0.498,AFG2020-03-18,,,,
79,AFG,Afghanistan,2020-03-19,0.498,AFG2020-03-19,,,,
80,AFG,Afghanistan,2020-03-20,0.498,AFG2020-03-20,,,,
81,AFG,Afghanistan,2020-03-21,0.498,AFG2020-03-21,,,,
82,AFG,Afghanistan,2020-03-22,0.498,AFG2020-03-22,,,,
83,AFG,Afghanistan,2020-03-23,0.498,AFG2020-03-23,,,,
84,AFG,Afghanistan,2020-03-24,0.498,AFG2020-03-24,,,,
85,AFG,Afghanistan,2020-03-25,0.498,AFG2020-03-25,,,,
86,AFG,Afghanistan,2020-03-26,0.498,AFG2020-03-26,,,,
87,AFG,Afghanistan,2020-03-27,0.498,AFG2020-03-27,,,,
88,AFG,Afghanistan,2020-03-28,0.498,AFG2020-03-28,,,,
89,AFG,Afghanistan,2020-03-29,0.498,AFG2020-03-29,,,,
90,AFG,Afghanistan,2020-03-30,0.498,AFG2020-03-30,,,,
91,AFG,Afghanistan,2020-03-31,0.498,AFG2020-03-31,,,,
92,AFG,Afghanistan,2020-04-01,0.498,AFG2020-04-01,,,,
93,AFG,Afghanistan,2020-04-02,0.498,AFG2020-04-02,,,,
94,AFG,Afghanistan,2020-04-03,0.498,AFG2020-04-03,,,,
95,AFG,Afghanistan,2020-04-04,0.498,AFG2020-04-04,,,,
96,AFG,Afghanistan,2020-04-05,0.498,AFG2020-04-05,,,,
97,AFG,Afghanistan,2020-04-06,0.498,AFG2020-04-06,,,,
98,AFG,Afghanistan,2020-04-07,0.498,AFG2020-04-07,,,,
99,AFG,Afghanistan,2020-04-08,0.498,AFG2020-04-08,,,,
100,AFG,Afghanistan,2020-04-09,0.498,AFG2020-04-09,,,,
101,AFG,Afghanistan,2020-04-10,0.498,AFG2020-04-10,,,,
102,AFG,Afghanistan,2020-04-11,0.498,AFG2020-04-11,,,,
103,AFG,Afghanistan,2020-04-12,0.498,AFG2020-04-12,,,,
104,AFG,Afghanistan,2020-04-13,0.498,AFG2020-04-13,,,,
105,AFG,Afghanistan,2020-04-14,0.498,AFG2020-04-14,,,,
106,AFG,Afghanistan,2020-04-15,0.498,AFG2020-04-15,,,,
107,AFG,Afghanistan,2020-04-16,0.498,AFG2020-04-16,,,,
108,AFG,Afghanistan,2020-04-17,0.498,AFG2020-04-17,,,,
109,AFG,Afghanistan,2020-04-18,0.498,AFG2020-04-18,,,,
110,AFG,Afghanistan,2020-04-19,0.498,AFG2020-04-19,,,,
111,AFG,Afghanistan,2020-04-20,0.498,AFG2020-04-20,,,,
112,AFG,Afghanistan,2020-04-21,0.498,AFG2020-04-21,,,,
113,AFG,Afghanistan,2020-04-22,0.498,AFG2020-04-22,,,,
114,AFG,Afghanistan,2020-04-23,0.498,AFG2020-04-23,,,,
115,AFG,Afghanistan,2020-04-24,0.498,AFG2020-04-24,,,,
116,AFG,Afghanistan,2020-04-25,0.498,AFG2020-04-25,,,,
117,AFG,Afghanistan,2020-04-26,0.498,AFG2020-04-26,,,,
118,AFG,Afghanistan,2020-04-27,0.498,AFG2020-04-27,,,,
119,AFG,Afghanistan,2020-04-28,0.498,AFG2020-04-28,,,,
120,AFG,Afghanistan,2020-04-29,0.498,AFG2020-04-29,,,,
121,AFG,Afghanistan,2020-04-30,0.498,AFG2020-04-30,,,,
122,AFG,Afghanistan,2020-05-01,0.498,AFG2020-05-01,,,,
123,AFG,Afghanistan,2020-05-02,0.498,AFG2020-05-02,,,,
124,AFG,Afghanistan,2020-05-03,0.498,AFG2020-05-03,,,,
125,AFG,Afghanistan,2020-05-04,0.498,AFG2020-05-04,,,,
126,AFG,Afghanistan,2020-05-05,0.498,AFG2020-05-05,,,,
127,AFG,Afghanistan,2020-05-06,0.498,AFG2020-05-06,,,,
128,AFG,Afghanistan,2020-05-07,0.498,AFG2020-05-07,,,,
129,AFG,Afghanistan,2020-05-08,0.498,AFG2020-05-08,,,,
130,AFG,Afghanistan,2020-05-09,0.498,AFG2020-05-09,,,,
131,AFG,Afghanistan,2020-05-10,0.498,AFG2020-05-10,,,,
132,AFG,Afghanistan,2020-05-11,0.498,AFG2020-05-11,,,,
133,AFG,Afghanistan,2020-05-12,0.498,AFG2020-05-12,,,,
134,AFG,Afghanistan,2020-05-13,0.498,AFG2020-05-13,,,,
135,AFG,Afghanistan,2020-05-14,0.498,AFG2020-05-14,,,,
136,AFG,Afghanistan,2020-05-15,0.498,AFG2020-05-15,,,,
137,AFG,Afghanistan,2020-05-16,0.498,AFG2020-05-16,,,,
