,iso_code,location,date,total_cases,total_deaths,stringency_index,population,Region,Area (sq. mi.),KEYCODE&DATE,DATE,European Union,European Single Market,Week_Num,Month,day,Dates,Cases_x_Area,Cases_x_Pop,Cumulative Deaths_%_Cases,PopMi2,Stringency_Indexed,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_Index_L4_L5
13,AFG,Afghanistan,2020-04-08,367.0,11.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-04-08,2020-04-08,,,14,Apr,Wednesday,20200408,0.0,0.0,0.0,60.1,4.0,All_Others,201.0,7.0,True
14,AFG,Afghanistan,2020-04-15,714.0,23.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-04-15,2020-04-15,,,15,Apr,Wednesday,20200415,0.0,0.0,0.0,60.1,4.0,All_Others,347.0,12.0,True
15,AFG,Afghanistan,2020-04-22,1092.0,36.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-04-22,2020-04-22,,,16,Apr,Wednesday,20200422,0.0,0.0,0.0,60.1,4.0,All_Others,378.0,13.0,True
16,AFG,Afghanistan,2020-04-29,1827.0,60.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-04-29,2020-04-29,,,17,Apr,Wednesday,20200429,0.0,0.0,0.0,60.1,4.0,All_Others,735.0,24.0,True
17,AFG,Afghanistan,2020-05-06,3224.0,95.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-05-06,2020-05-06,,,18,May,Wednesday,20200506,0.0,0.0,0.0,60.1,4.0,All_Others,1397.0,35.0,True
18,AFG,Afghanistan,2020-05-13,4967.0,127.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-05-13,2020-05-13,,,19,May,Wednesday,20200513,0.0,0.0,0.0,60.1,4.0,All_Others,1743.0,32.0,True
19,AFG,Afghanistan,2020-05-20,7653.0,178.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-05-20,2020-05-20,,,20,May,Wednesday,20200520,0.0,0.0,0.0,60.1,4.0,All_Others,2686.0,51.0,True
20,AFG,Afghanistan,2020-05-27,11831.0,220.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-05-27,2020-05-27,,,21,May,Wednesday,20200527,0.0,0.0,0.0,60.1,4.0,All_Others,4178.0,42.0,True
21,AFG,Afghanistan,2020-06-03,16509.0,270.0,84.26,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-06-03,2020-06-03,,,22,Jun,Wednesday,20200603,0.0,0.0,0.0,60.1,4.0,All_Others,4678.0,50.0,True
22,AFG,Afghanistan,2020-06-10,21459.0,384.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-06-10,2020-06-10,,,23,Jun,Wednesday,20200610,0.0,0.0,0.0,60.1,4.0,All_Others,4950.0,114.0,True
23,AFG,Afghanistan,2020-06-17,26310.0,491.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-06-17,2020-06-17,,,24,Jun,Wednesday,20200617,0.0,0.0,0.0,60.1,4.0,All_Others,4851.0,107.0,True
24,AFG,Afghanistan,2020-06-24,29481.0,618.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-06-24,2020-06-24,,,25,Jun,Wednesday,20200624,0.0,0.0,0.0,60.1,4.0,All_Others,3171.0,127.0,True
25,AFG,Afghanistan,2020-07-01,31517.0,746.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-07-01,2020-07-01,,,26,Jul,Wednesday,20200701,0.0,0.0,0.0,60.1,4.0,All_Others,2036.0,128.0,True
26,AFG,Afghanistan,2020-07-08,33594.0,936.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-07-08,2020-07-08,,,27,Jul,Wednesday,20200708,0.1,0.0,0.0,60.1,4.0,All_Others,2077.0,190.0,True
27,AFG,Afghanistan,2020-07-15,34740.0,1045.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-07-15,2020-07-15,,,28,Jul,Wednesday,20200715,0.1,0.0,0.0,60.1,4.0,All_Others,1146.0,109.0,True
28,AFG,Afghanistan,2020-07-22,35727.0,1190.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-07-22,2020-07-22,,,29,Jul,Wednesday,20200722,0.1,0.0,0.0,60.1,4.0,All_Others,987.0,145.0,True
29,AFG,Afghanistan,2020-07-29,36471.0,1271.0,78.7,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-07-29,2020-07-29,,,30,Jul,Wednesday,20200729,0.1,0.0,0.0,60.1,4.0,All_Others,744.0,81.0,True
30,AFG,Afghanistan,2020-08-05,36829.0,1294.0,71.3,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-08-05,2020-08-05,,,31,Aug,Wednesday,20200805,0.1,0.0,0.0,60.1,4.0,All_Others,358.0,23.0,True
31,AFG,Afghanistan,2020-08-12,37269.0,1344.0,71.3,38928341,ASIA (EX. NEAR EAST),647500.0,AFG2020-08-12,2020-08-12,,,32,Aug,Wednesday,20200812,0.1,0.0,0.0,60.1,4.0,All_Others,440.0,50.0,True
40,ALB,Albania,2020-03-18,55.0,1.0,81.48,2877800,EASTERN EUROPE,28748.0,ALB2020-03-18,2020-03-18,Candidate,,11,Mar,Wednesday,20200318,0.0,0.0,0.0,100.1,4.0,All_Others,45.0,,True
41,ALB,Albania,2020-03-25,123.0,5.0,84.26,2877800,EASTERN EUROPE,28748.0,ALB2020-03-25,2020-03-25,Candidate,,12,Mar,Wednesday,20200325,0.0,0.0,0.0,100.1,4.0,All_Others,68.0,4.0,True
42,ALB,Albania,2020-04-01,243.0,15.0,84.26,2877800,EASTERN EUROPE,28748.0,ALB2020-04-01,2020-04-01,Candidate,,13,Apr,Wednesday,20200401,0.0,0.0,0.1,100.1,4.0,All_Others,120.0,10.0,True
43,ALB,Albania,2020-04-08,383.0,22.0,84.26,2877800,EASTERN EUROPE,28748.0,ALB2020-04-08,2020-04-08,Candidate,,14,Apr,Wednesday,20200408,0.0,0.0,0.1,100.1,4.0,All_Others,140.0,7.0,True
44,ALB,Albania,2020-04-15,475.0,24.0,84.26,2877800,EASTERN EUROPE,28748.0,ALB2020-04-15,2020-04-15,Candidate,,15,Apr,Wednesday,20200415,0.0,0.0,0.1,100.1,4.0,All_Others,92.0,2.0,True
45,ALB,Albania,2020-04-22,609.0,26.0,89.81,2877800,EASTERN EUROPE,28748.0,ALB2020-04-22,2020-04-22,Candidate,,16,Apr,Wednesday,20200422,0.0,0.0,0.0,100.1,4.0,All_Others,134.0,2.0,True
46,ALB,Albania,2020-04-29,750.0,30.0,89.81,2877800,EASTERN EUROPE,28748.0,ALB2020-04-29,2020-04-29,Candidate,,17,Apr,Wednesday,20200429,0.0,0.0,0.0,100.1,4.0,All_Others,141.0,4.0,True
47,ALB,Albania,2020-05-06,820.0,31.0,89.81,2877800,EASTERN EUROPE,28748.0,ALB2020-05-06,2020-05-06,Candidate,,18,May,Wednesday,20200506,0.0,0.0,0.0,100.1,4.0,All_Others,70.0,1.0,True
48,ALB,Albania,2020-05-13,876.0,31.0,89.81,2877800,EASTERN EUROPE,28748.0,ALB2020-05-13,2020-05-13,Candidate,,19,May,Wednesday,20200513,0.0,0.0,0.0,100.1,4.0,All_Others,56.0,0.0,True
49,ALB,Albania,2020-05-20,949.0,31.0,83.33,2877800,EASTERN EUROPE,28748.0,ALB2020-05-20,2020-05-20,Candidate,,20,May,Wednesday,20200520,0.0,0.0,0.0,100.1,4.0,All_Others,73.0,0.0,True
50,ALB,Albania,2020-05-27,1029.0,33.0,86.11,2877800,EASTERN EUROPE,28748.0,ALB2020-05-27,2020-05-27,Candidate,,21,May,Wednesday,20200527,0.0,0.0,0.0,100.1,4.0,All_Others,80.0,2.0,True
80,DZA,Algeria,2020-03-25,264.0,19.0,75.0,43851043,NORTHERN AFRICA,2381740.0,DZA2020-03-25,2020-03-25,Candidate,,12,Mar,Wednesday,20200325,0.0,0.0,0.1,18.4,4.0,All_Others,204.0,14.0,True
81,DZA,Algeria,2020-04-01,716.0,44.0,86.57,43851043,NORTHERN AFRICA,2381740.0,DZA2020-04-01,2020-04-01,Candidate,,13,Apr,Wednesday,20200401,0.0,0.0,0.1,18.4,4.0,All_Others,452.0,25.0,True
82,DZA,Algeria,2020-04-08,1468.0,193.0,86.57,43851043,NORTHERN AFRICA,2381740.0,DZA2020-04-08,2020-04-08,Candidate,,14,Apr,Wednesday,20200408,0.0,0.0,0.1,18.4,4.0,All_Others,752.0,149.0,True
83,DZA,Algeria,2020-04-15,2070.0,325.0,92.13,43851043,NORTHERN AFRICA,2381740.0,DZA2020-04-15,2020-04-15,Candidate,,15,Apr,Wednesday,20200415,0.0,0.0,0.2,18.4,5.0,All_Others,602.0,132.0,True
84,DZA,Algeria,2020-04-22,2811.0,392.0,92.13,43851043,NORTHERN AFRICA,2381740.0,DZA2020-04-22,2020-04-22,Candidate,,16,Apr,Wednesday,20200422,0.0,0.0,0.1,18.4,5.0,All_Others,741.0,67.0,True
85,DZA,Algeria,2020-04-29,3649.0,437.0,76.85,43851043,NORTHERN AFRICA,2381740.0,DZA2020-04-29,2020-04-29,Candidate,,17,Apr,Wednesday,20200429,0.0,0.0,0.1,18.4,4.0,All_Others,838.0,45.0,True
86,DZA,Algeria,2020-05-06,4838.0,470.0,76.85,43851043,NORTHERN AFRICA,2381740.0,DZA2020-05-06,2020-05-06,Candidate,,18,May,Wednesday,20200506,0.0,0.0,0.1,18.4,4.0,All_Others,1189.0,33.0,True
87,DZA,Algeria,2020-05-13,6067.0,515.0,87.96,43851043,NORTHERN AFRICA,2381740.0,DZA2020-05-13,2020-05-13,Candidate,,19,May,Wednesday,20200513,0.0,0.0,0.1,18.4,4.0,All_Others,1229.0,45.0,True
88,DZA,Algeria,2020-05-20,7377.0,561.0,76.85,43851043,NORTHERN AFRICA,2381740.0,DZA2020-05-20,2020-05-20,Candidate,,20,May,Wednesday,20200520,0.0,0.0,0.1,18.4,4.0,All_Others,1310.0,46.0,True
