,iso_code,location,date,total_cases,total_deaths,stringency_index,population,Region,Area (sq. mi.),KEYCODE&DATE,DATE,European Union,European Single Market,Week_Num,Month,day,Dates,Cases_x_Area,Cases_x_Pop,Cumulative Deaths_%_Cases,PopMi2,Stringency_Indexed,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_IndexL4_L5
371,AUT,Austria,2020-03-18,1332.0,3.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.0,0.0,0.0,107.4,4.0,EU,1150.0,,True
372,AUT,Austria,2020-03-25,5282.0,30.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.1,0.0,0.0,107.4,4.0,EU,3950.0,27.0,True
373,AUT,Austria,2020-04-01,10182.0,128.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.1,0.0,0.0,107.4,4.0,EU,4900.0,98.0,True
374,AUT,Austria,2020-04-08,12640.0,243.0,85.19,9006400,WESTERN EUROPE,83870.0,AUT2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.2,0.0,0.0,107.4,4.0,EU,2458.0,115.0,True
375,AUT,Austria,2020-04-15,14234.0,384.0,81.48,9006400,WESTERN EUROPE,83870.0,AUT2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.2,0.0,0.0,107.4,4.0,EU,1594.0,141.0,True
376,AUT,Austria,2020-04-22,14833.0,463.0,81.48,9006400,WESTERN EUROPE,83870.0,AUT2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.2,0.0,0.0,107.4,4.0,EU,599.0,79.0,True
377,AUT,Austria,2020-04-29,15314.0,569.0,78.7,9006400,WESTERN EUROPE,83870.0,AUT2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.2,0.0,0.0,107.4,4.0,EU,481.0,106.0,True
615,BEL,Belgium,2020-03-18,3098.0,62.0,73.15,11589616,WESTERN EUROPE,30528.0,BEL2020-03-18,2020-03-18,Member,Member,11,Mar,Wednesday,20200318,0.1,0.0,0.0,379.6,4.0,EU,2324.0,58.0,True
616,BEL,Belgium,2020-03-25,9150.0,478.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-03-25,2020-03-25,Member,Member,12,Mar,Wednesday,20200325,0.3,0.0,0.1,379.6,4.0,EU,6052.0,416.0,True
617,BEL,Belgium,2020-04-01,18493.0,1608.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.6,0.0,0.1,379.6,4.0,EU,9343.0,1130.0,True
618,BEL,Belgium,2020-04-08,28299.0,3434.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.9,0.0,0.1,379.6,4.0,EU,9806.0,1826.0,True
619,BEL,Belgium,2020-04-15,38157.0,5375.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,1.2,0.0,0.1,379.6,4.0,EU,9858.0,1941.0,True
620,BEL,Belgium,2020-04-22,45713.0,6814.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,1.5,0.0,0.1,379.6,4.0,EU,7556.0,1439.0,True
621,BEL,Belgium,2020-04-29,49939.0,7773.0,81.48,11589616,WESTERN EUROPE,30528.0,BEL2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,1.6,0.0,0.2,379.6,4.0,EU,4226.0,959.0,True
